order_id,order_date,customer_id,customer_segment,region,country,city,category,product,channel,payment_method,fulfillment_status,quantity,unit_price,discount_pct,revenue,cost,profit
ORD-000001,2024-08-29,CUST-1517,Retail,West,United States,Seattle,Wellness,Vitamin D3 Drops,Partner,Card,Cancelled,7,21.35,0,0,0.0,0.0
ORD-000002,2024-11-11,CUST-1781,Hospital,South,United States,Miami,OTC,DigestWell Caps,Partner,Insurance,Delivered,7,17.3,0.03,117.47,39.24,78.23
ORD-000003,2025-09-14,CUST-1300,Clinic,North,United States,Chicago,Prescription,RespiraClear,Retail Store,Insurance,Delivered,2,38.28,0.08,70.44,26.93,43.5
ORD-000004,2025-01-25,CUST-1373,Retail,North,Canada,Toronto,OTC,ColdAway Syrup,Online,Bank Transfer,Delivered,2,16.85,0.08,31.0,11.4,19.6
ORD-000005,2026-03-13,CUST-1388,Distributor,West,Canada,Vancouver,OTC,PainEase Tablets,Retail Store,Insurance,Cancelled,6,12.73,0.03,0,0.0,0.0
ORD-000006,2025-07-16,CUST-1322,Retail,West,United States,Seattle,Devices,Pulse Oximeter,Online,Bank Transfer,Delivered,5,50.3,0.1,226.35,95.99,130.36
ORD-000007,2025-12-04,CUST-1408,Retail,Central,United States,Denver,Wellness,Protein Plus Sachets,Online,Insurance,Cancelled,5,37.76,0.08,0,0.0,0.0
ORD-000008,2026-03-05,CUST-1394,Clinic,Central,United States,Denver,Prescription,GlucoBalance XR,Sales Rep,Wallet,Delivered,3,53.67,0.08,148.13,70.69,77.43
ORD-000009,2026-04-30,CUST-1300,Distributor,West,Canada,Vancouver,Wellness,Protein Plus Sachets,Online,Wallet,Delivered,18,40.2,0.12,636.77,273.01,363.75
ORD-000010,2026-03-03,CUST-1156,Clinic,West,Canada,Vancouver,Prescription,CardioRelief 10mg,Retail Store,Insurance,Delivered,5,47.26,0.1,212.67,93.04,119.63
ORD-000011,2025-02-01,CUST-1087,Retail,West,United States,San Diego,Wellness,Vitamin D3 Drops,Sales Rep,Wallet,Delivered,1,22.58,0.1,20.32,8.49,11.83
ORD-000012,2025-11-23,CUST-1706,Hospital,South,Mexico,Monterrey,Wellness,OmegaCare Softgels,Retail Store,Bank Transfer,Delivered,7,33.82,0.1,213.07,93.14,119.92
ORD-000013,2025-01-17,CUST-1602,Distributor,West,United States,San Diego,Wellness,Protein Plus Sachets,Retail Store,Bank Transfer,Delivered,3,40.75,0.1,110.03,48.83,61.2
ORD-000014,2025-11-09,CUST-1135,Distributor,South,United States,Austin,Prescription,CardioRelief 10mg,Sales Rep,Wallet,Delivered,8,40.44,0.08,297.64,122.13,175.51
ORD-000015,2025-08-08,CUST-1669,Retail,Central,United States,Denver,Prescription,RespiraClear,Retail Store,Card,Delivered,7,29.63,0.12,182.52,69.5,113.03
ORD-000016,2025-08-07,CUST-1077,Retail,North,United States,New York,Prescription,NeuroCalm Plus,Retail Store,Wallet,Delivered,3,46.08,0.03,134.09,63.96,70.14
ORD-000017,2025-01-29,CUST-1410,Distributor,North,Canada,Toronto,Wellness,Vitamin D3 Drops,Partner,Card,Delivered,6,25.44,0.08,140.43,52.26,88.17
ORD-000018,2025-08-08,CUST-1303,Distributor,Central,United States,Kansas City,Prescription,CardioRelief 10mg,Partner,Bank Transfer,Delivered,18,38.06,0.08,630.27,256.05,374.22
ORD-000019,2024-11-09,CUST-1070,Retail,West,United States,Seattle,Devices,Digital Thermometer,Retail Store,Card,Cancelled,1,31.47,0,0,0.0,0.0
ORD-000020,2026-01-30,CUST-1578,Distributor,Central,United States,Denver,Wellness,OmegaCare Softgels,Retail Store,Insurance,Cancelled,2,29.98,0.08,0,0.0,0.0
ORD-000021,2025-09-12,CUST-1636,Retail,West,United States,Seattle,Devices,Pulse Oximeter,Online,Card,Delivered,6,62.14,0,372.84,137.43,235.41
ORD-000022,2025-06-14,CUST-1626,Distributor,West,United States,Seattle,Prescription,GlucoBalance XR,Sales Rep,Card,Delivered,10,54.71,0.1,492.39,238.96,253.43
ORD-000023,2024-11-07,CUST-1208,Retail,North,United States,New York,Wellness,Immunity Gummies,Sales Rep,Insurance,Cancelled,5,22.3,0.03,0,0.0,0.0
ORD-000024,2024-06-04,CUST-1165,Clinic,North,United States,New York,OTC,AllerFree Spray,Partner,Wallet,Delivered,6,21.24,0.12,112.15,45.89,66.26
ORD-000025,2025-12-11,CUST-1440,Retail,North,United States,New York,OTC,DigestWell Caps,Sales Rep,Bank Transfer,Delivered,1,21.46,0.1,19.31,6.82,12.5
ORD-000026,2025-05-29,CUST-1242,Retail,North,United States,Chicago,Prescription,NeuroCalm Plus,Online,Bank Transfer,Delivered,7,54.34,0.12,334.73,142.3,192.43
ORD-000027,2026-04-17,CUST-1039,Retail,Central,United States,Denver,Devices,Pulse Oximeter,Sales Rep,Wallet,Returned,4,44.53,0.12,39.19,14.69,24.49
ORD-000028,2024-06-25,CUST-1791,Clinic,West,United States,San Diego,Prescription,RespiraClear,Sales Rep,Insurance,Delivered,4,34.71,0.05,131.9,57.23,74.67
ORD-000029,2026-01-16,CUST-1746,Retail,West,United States,Seattle,OTC,DigestWell Caps,Sales Rep,Insurance,Delivered,5,18.26,0.1,82.17,28.46,53.71
ORD-000030,2024-06-02,CUST-1338,Retail,Central,Mexico,Guadalajara,OTC,ColdAway Syrup,Online,Insurance,Returned,4,13.04,0,13.04,5.03,8.01
ORD-000031,2026-05-15,CUST-1388,Retail,West,Canada,Vancouver,Wellness,Vitamin D3 Drops,Retail Store,Bank Transfer,Returned,5,24.43,0.03,29.62,11.41,18.22
ORD-000032,2025-08-15,CUST-1523,Clinic,Central,Mexico,Guadalajara,Wellness,Immunity Gummies,Online,Wallet,Delivered,6,18.15,0.08,100.19,38.11,62.08
ORD-000033,2024-09-04,CUST-1150,Hospital,North,United States,Chicago,Wellness,OmegaCare Softgels,Retail Store,Card,Delivered,4,31.15,0.03,120.86,53.25,67.61
ORD-000034,2026-05-15,CUST-1704,Retail,North,United States,Chicago,Prescription,RespiraClear,Retail Store,Card,Delivered,7,34.27,0.03,232.69,90.02,142.67
ORD-000035,2025-09-19,CUST-1475,Retail,Central,United States,Denver,Devices,Digital Thermometer,Sales Rep,Insurance,Cancelled,1,21.49,0,0,0.0,0.0
ORD-000036,2025-09-04,CUST-1796,Hospital,Central,Mexico,Guadalajara,Devices,Nebulizer Kit,Online,Wallet,Returned,5,58.29,0.12,64.12,26.59,37.53
ORD-000037,2025-04-24,CUST-1156,Clinic,Central,United States,Denver,Wellness,Immunity Gummies,Online,Bank Transfer,Delivered,2,16.69,0.03,32.38,11.76,20.62
ORD-000038,2025-07-04,CUST-1006,Hospital,West,Canada,Vancouver,Prescription,RespiraClear,Online,Insurance,Returned,1,38.68,0.1,8.7,3.5,5.2
ORD-000039,2025-01-12,CUST-1398,Clinic,Central,Mexico,Guadalajara,Prescription,RespiraClear,Retail Store,Insurance,Cancelled,8,31.16,0.08,0,0.0,0.0
ORD-000040,2024-06-28,CUST-1658,Distributor,South,United States,Miami,Wellness,Protein Plus Sachets,Sales Rep,Wallet,Cancelled,13,33.89,0.12,0,0.0,0.0
ORD-000041,2025-05-01,CUST-1431,Retail,South,United States,Austin,Prescription,RespiraClear,Online,Insurance,Returned,6,33.12,0.08,45.71,18.07,27.63
ORD-000042,2025-01-16,CUST-1031,Hospital,North,Canada,Toronto,Wellness,Protein Plus Sachets,Sales Rep,Bank Transfer,Delivered,2,43.72,0.12,76.95,31.37,45.58
ORD-000043,2025-01-10,CUST-1621,Retail,South,United States,Austin,Prescription,CardioRelief 10mg,Retail Store,Card,Cancelled,8,44.83,0.05,0,0.0,0.0
ORD-000044,2026-04-25,CUST-1606,Hospital,West,United States,Seattle,Wellness,OmegaCare Softgels,Sales Rep,Bank Transfer,Cancelled,7,30.21,0.12,0,0.0,0.0
ORD-000045,2026-04-09,CUST-1430,Clinic,North,Canada,Toronto,Prescription,NeuroCalm Plus,Online,Wallet,Returned,6,43.59,0.12,57.54,25.23,32.3
ORD-000046,2026-03-29,CUST-1476,Retail,Central,Mexico,Guadalajara,Prescription,NeuroCalm Plus,Online,Wallet,Cancelled,5,43.59,0.1,0,0.0,0.0
ORD-000047,2025-02-05,CUST-1029,Clinic,West,United States,Seattle,Wellness,Immunity Gummies,Online,Wallet,Returned,8,22.18,0.12,39.04,14.16,24.87
ORD-000048,2026-02-01,CUST-1087,Retail,Central,United States,Denver,Devices,Pulse Oximeter,Online,Bank Transfer,Delivered,5,47.85,0.1,215.33,92.3,123.02
ORD-000049,2024-06-18,CUST-1313,Hospital,South,Mexico,Monterrey,Wellness,Protein Plus Sachets,Partner,Insurance,Returned,2,31.48,0.08,14.48,6.57,7.91
ORD-000050,2025-03-05,CUST-1323,Hospital,Central,Mexico,Guadalajara,OTC,AllerFree Spray,Online,Card,Returned,5,16.29,0,20.36,8.01,12.35
ORD-000051,2025-11-20,CUST-1369,Clinic,South,United States,Austin,Wellness,OmegaCare Softgels,Online,Bank Transfer,Cancelled,5,33.94,0.03,0,0.0,0.0
ORD-000052,2026-03-16,CUST-1480,Distributor,West,United States,Seattle,Prescription,GlucoBalance XR,Retail Store,Wallet,Delivered,16,53.91,0,862.56,410.21,452.35
ORD-000053,2025-07-16,CUST-1155,Distributor,North,United States,Chicago,OTC,PainEase Tablets,Retail Store,Bank Transfer,Delivered,16,10.91,0.12,153.61,53.79,99.83
ORD-000054,2026-02-01,CUST-1453,Retail,North,United States,New York,Wellness,Immunity Gummies,Partner,Insurance,Cancelled,4,22.45,0.08,0,0.0,0.0
ORD-000055,2024-12-30,CUST-1177,Clinic,West,Canada,Vancouver,Devices,Nebulizer Kit,Retail Store,Card,Delivered,4,69.08,0,276.32,112.3,164.02
ORD-000056,2025-03-23,CUST-1239,Hospital,Central,Mexico,Guadalajara,Prescription,RespiraClear,Online,Insurance,Delivered,5,31.35,0.08,144.21,55.07,89.14
ORD-000057,2024-10-24,CUST-1582,Hospital,Central,United States,Denver,Wellness,OmegaCare Softgels,Retail Store,Insurance,Delivered,2,23.22,0.05,44.12,18.81,25.31
ORD-000058,2025-10-19,CUST-1752,Retail,West,Canada,Vancouver,OTC,DigestWell Caps,Online,Insurance,Cancelled,8,16.49,0,0,0.0,0.0
ORD-000059,2026-01-23,CUST-1590,Distributor,North,United States,New York,Wellness,Vitamin D3 Drops,Partner,Card,Cancelled,1,29.21,0.12,0,0.0,0.0
ORD-000060,2026-01-21,CUST-1481,Clinic,Central,Mexico,Guadalajara,Wellness,OmegaCare Softgels,Sales Rep,Insurance,Delivered,7,30.09,0.08,193.78,87.5,106.28
ORD-000061,2026-04-10,CUST-1090,Retail,North,United States,New York,OTC,AllerFree Spray,Partner,Insurance,Delivered,7,21.45,0.1,135.14,47.54,87.59
ORD-000062,2025-09-17,CUST-1774,Clinic,Central,Mexico,Guadalajara,Prescription,CardioRelief 10mg,Online,Wallet,Cancelled,7,32.63,0.1,0,0.0,0.0
ORD-000063,2026-05-17,CUST-1245,Hospital,South,United States,Miami,Wellness,Vitamin D3 Drops,Sales Rep,Bank Transfer,Returned,8,19.15,0.12,33.7,13.37,20.33
ORD-000064,2025-09-16,CUST-1733,Retail,Central,United States,Denver,Prescription,CardioRelief 10mg,Partner,Insurance,Delivered,2,37.93,0.03,73.58,31.63,41.95
ORD-000065,2024-10-27,CUST-1139,Distributor,Central,United States,Kansas City,OTC,AllerFree Spray,Online,Card,Cancelled,13,16.03,0.1,0,0.0,0.0
ORD-000066,2026-01-23,CUST-1353,Retail,West,Canada,Vancouver,Prescription,RespiraClear,Online,Insurance,Delivered,8,43.41,0.08,319.5,131.8,187.69
ORD-000067,2026-01-07,CUST-1762,Distributor,Central,United States,Kansas City,OTC,DigestWell Caps,Sales Rep,Wallet,Delivered,13,16.14,0.08,193.03,62.63,130.41
ORD-000068,2025-10-21,CUST-1102,Clinic,Central,Mexico,Guadalajara,Wellness,Protein Plus Sachets,Retail Store,Wallet,Delivered,1,28.9,0.1,26.01,11.14,14.87
ORD-000069,2024-08-16,CUST-1709,Retail,North,Canada,Toronto,Prescription,RespiraClear,Sales Rep,Wallet,Delivered,8,36.67,0.05,278.69,111.31,167.38
